Kategorie,Marke,Modell,Artikelgruppe,QualitaetVariante,Preis,BestandStatus,Angebotsartikel,Hinweis,Aktiv,Sortierung,AngebotsbannerAktiv,AngebotsbannerText,AngebotsbannerButton,AngebotsbannerZiel,AngebotsbannerStart,AngebotsbannerEnde,WhatsAppOffenbach,WhatsAppKassel,WhatsAppGoettingen,StandortOffenbachGoogleMaps,StandortKasselGoogleMaps,StandortGoettingenGoogleMaps
Smartphone,Apple,iPhone XS,Display,Incell HD,"10,00",Viel Bestand,Nein,,Ja,5010,,,,,,,,,,,,
Smartphone,Apple,iPhone XS,Display,FHD,"12,50",Viel Bestand,Nein,,Ja,5020,,,,,,,,,,,,
Smartphone,Apple,iPhone XS,Display,Hard OLED,"22,00",Viel Bestand,Nein,,Ja,5030,,,,,,,,,,,,
Smartphone,Apple,iPhone XS,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,5040,,,,,,,,,,,,
Smartphone,Apple,iPhone XS,Akku,Akku,,Auf Anfrage,Nein,,Ja,5050,,,,,,,,,,,,
Smartphone,Apple,iPhone XS Max,Display,Incell HD,"10,00",Viel Bestand,Nein,,Ja,6010,,,,,,,,,,,,
Smartphone,Apple,iPhone XS Max,Display,FHD,"15,00",Viel Bestand,Nein,,Ja,6020,,,,,,,,,,,,
Smartphone,Apple,iPhone XS Max,Display,Hard OLED,"25,00",Wenig Bestand,Nein,,Ja,6030,,,,,,,,,,,,
Smartphone,Apple,iPhone XS Max,Display,Soft OLED,"30,00",In Kürze wieder verfügbar!,Nein,,Ja,6040,,,,,,,,,,,,
Smartphone,Apple,iPhone XS Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,6050,,,,,,,,,,,,
Smartphone,Apple,iPhone 11,Display,Incell HD,"10,00",Viel Bestand,Nein,,Ja,7010,,,,,,,,,,,,
Smartphone,Apple,iPhone 11,Display,FHD,"12,00",Viel Bestand,Nein,,Ja,7020,,,,,,,,,,,,
Smartphone,Apple,iPhone 11,Akku,Akku,,Auf Anfrage,Nein,,Ja,7050,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro,Display,Incell HD,"10,00",Wenig Bestand,Nein,,Ja,8010,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro,Display,FHD,"14,00",Viel Bestand,Nein,,Ja,8020,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro,Display,Hard OLED,"23,00",Viel Bestand,Nein,,Ja,8030,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,8040,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,8050,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro Max,Display,Incell HD,"11,00",Viel Bestand,Nein,,Ja,9010,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro Max,Display,FHD,"15,00",Wenig Bestand,Nein,,Ja,9020,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro Max,Display,Hard OLED,"28,00",Wenig Bestand,Nein,,Ja,9030,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro Max,Display,Soft OLED,"33,00",Viel Bestand,Nein,,Ja,9040,,,,,,,,,,,,
Smartphone,Apple,iPhone 11 Pro Max,Akku,Akku,"12,00",In Kürze wieder verfügbar!,Nein,,Ja,9050,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Display,Incell HD,"10,00",Wenig Bestand,Nein,,Ja,10010,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Display,FHD,"14,00",Wenig Bestand,Nein,,Ja,10020,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Display,Hard OLED,"28,00",Wenig Bestand,Nein,,Ja,10030,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Display,Soft OLED,"40,00",Viel Bestand,Nein,,Ja,10040,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Akku,Akku,,Auf Anfrage,Nein,,Ja,10050,,,,,,,,,,,,
Smartphone,Apple,iPhone 12,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,10060,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Display,Incell HD,"12,00",Viel Bestand,Nein,,Ja,11010,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,11020,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,11030,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,11040,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Akku,Akku,,Auf Anfrage,Nein,,Ja,11050,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 mini,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,11060,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Display,Incell HD,,Auf Anfrage,Nein,,Ja,12010,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Display,FHD,,Auf Anfrage,Nein,,Ja,12020,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,12030,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,12040,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,12050,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,12060,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Display,Incell HD,"12,50",Viel Bestand,Nein,,Ja,13010,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,13020,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,13030,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Display,Soft OLED,"40,00",Wenig Bestand,Nein,,Ja,13040,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,13050,,,,,,,,,,,,
Smartphone,Apple,iPhone 12 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,13060,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Display,Incell HD,"12,00",Viel Bestand,Nein,,Ja,14010,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Display,FHD,"15,00",Viel Bestand,Nein,,Ja,14020,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,14030,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Display,Soft OLED,"45,00",Viel Bestand,Nein,,Ja,14040,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Akku,Akku,,Auf Anfrage,Nein,,Ja,14050,,,,,,,,,,,,
Smartphone,Apple,iPhone 13,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,14060,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Display,Incell HD,"13,00",Viel Bestand,Nein,,Ja,15010,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Display,FHD,"21,00",Viel Bestand,Nein,,Ja,15020,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,15030,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,15040,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Akku,Akku,,Auf Anfrage,Nein,,Ja,15050,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 mini,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,15060,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Display,Incell HD,"15,00",Viel Bestand,Nein,,Ja,16010,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Display,FHD,"18,00",Viel Bestand,Nein,,Ja,16020,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,16030,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Display,Soft OLED,"45,00",Viel Bestand,Nein,,Ja,16040,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,16050,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,16060,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Display,Incell HD,"16,00",In Kürze wieder verfügbar!,Nein,,Ja,17010,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,17020,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,17030,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Display,Soft OLED,"45,00",Viel Bestand,Nein,,Ja,17040,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,17050,,,,,,,,,,,,
Smartphone,Apple,iPhone 13 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,17060,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Display,Incell HD,"12,50",Viel Bestand,Nein,,Ja,18010,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Display,FHD,"17,00",Viel Bestand,Nein,,Ja,18020,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,18030,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Display,Soft OLED,"40,00",Wenig Bestand,Nein,,Ja,18040,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Akku,Akku,,Auf Anfrage,Nein,,Ja,18050,,,,,,,,,,,,
Smartphone,Apple,iPhone 14,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,18060,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Display,Incell HD,"14,00",Viel Bestand,Nein,,Ja,19010,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Display,FHD,"19,00",Viel Bestand,Nein,,Ja,19020,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,19030,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Display,Soft OLED,"40,00",In Kürze wieder verfügbar!,Nein,,Ja,19040,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Akku,Akku,,Auf Anfrage,Nein,,Ja,19050,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Plus,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,19060,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Display,Incell HD,"16,00",Viel Bestand,Nein,,Ja,20010,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,20020,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,20030,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Display,Soft OLED,"50,00",In Kürze wieder verfügbar!,Nein,,Ja,20040,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,20050,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,20060,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Display,Incell HD,"18,00",Wenig Bestand,Nein,,Ja,21010,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Display,FHD,"27,00",Wenig Bestand,Nein,,Ja,21020,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,21030,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Display,Soft OLED,"55,00",Wenig Bestand,Nein,,Ja,21040,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,21050,,,,,,,,,,,,
Smartphone,Apple,iPhone 14 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,21060,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Display,Incell HD,"15,00",Viel Bestand,Nein,,Ja,22010,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Display,FHD,"18,00",Viel Bestand,Nein,,Ja,22020,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Display,Hard OLED,"55,00",Wenig Bestand,Nein,,Ja,22030,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Display,Soft OLED,"80,00",Wenig Bestand,Nein,,Ja,22040,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Akku,Akku,,Auf Anfrage,Nein,,Ja,22050,,,,,,,,,,,,
Smartphone,Apple,iPhone 15,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,22060,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Display,Incell HD,"15,00",Viel Bestand,Nein,,Ja,23010,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,23020,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Display,Hard OLED,"50,00",In Kürze wieder verfügbar!,Nein,,Ja,23030,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Display,Soft OLED,"60,00",Wenig Bestand,Nein,,Ja,23040,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Akku,Akku,,Auf Anfrage,Nein,,Ja,23050,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Plus,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,23060,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Display,Incell HD,"15,00",Wenig Bestand,Nein,,Ja,24010,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Display,FHD,"20,00",Viel Bestand,Nein,,Ja,24020,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Display,Hard OLED,"45,00",Viel Bestand,Nein,,Ja,24030,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Display,Soft OLED,"55,00",Wenig Bestand,Nein,,Ja,24040,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,24050,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,24060,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Display,Incell HD,"18,00",In Kürze wieder verfügbar!,Nein,,Ja,25010,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Display,FHD,"29,00",In Kürze wieder verfügbar!,Nein,,Ja,25020,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Display,Hard OLED,"60,00",Wenig Bestand,Nein,,Ja,25030,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Display,Soft OLED,"55,00",Wenig Bestand,Nein,,Ja,25040,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,25050,,,,,,,,,,,,
Smartphone,Apple,iPhone 15 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,25060,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Display,Incell HD,"18,00",Viel Bestand,Nein,,Ja,26010,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Display,FHD,"30,00",Viel Bestand,Nein,,Ja,26020,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Display,Hard OLED,"55,00",Viel Bestand,Nein,,Ja,26030,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Display,Soft OLED,"60,00",Wenig Bestand,Nein,,Ja,26040,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Akku,Akku,,Auf Anfrage,Nein,,Ja,26050,,,,,,,,,,,,
Smartphone,Apple,iPhone 16,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,26060,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Display,Incell HD,"18,00",Viel Bestand,Nein,,Ja,27010,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Display,FHD,,Auf Anfrage,Nein,,Ja,27020,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,27030,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Display,Soft OLED,"70,00",Viel Bestand,Nein,,Ja,27040,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Akku,Akku,,Auf Anfrage,Nein,,Ja,27050,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Plus,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,27060,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Display,Incell HD,"30,00",Viel Bestand,Nein,,Ja,28010,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Display,FHD,"40,00",Viel Bestand,Nein,,Ja,28020,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Display,Hard OLED,"60,00",In Kürze wieder verfügbar!,Nein,,Ja,28030,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Display,Soft OLED,"75,00",Wenig Bestand,Nein,,Ja,28040,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,28050,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,28060,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Display,Incell HD,"35,00",Viel Bestand,Nein,,Ja,29010,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Display,FHD,"40,00",Viel Bestand,Nein,,Ja,29020,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Display,Hard OLED,"60,00",In Kürze wieder verfügbar!,Nein,,Ja,29030,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Display,Soft OLED,"70,00",Wenig Bestand,Nein,,Ja,29040,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,29050,,,,,,,,,,,,
Smartphone,Apple,iPhone 16 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,29060,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Display,Incell HD,,Auf Anfrage,Nein,,Ja,30010,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Display,FHD,,Auf Anfrage,Nein,,Ja,30020,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,30030,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,30040,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Akku,Akku,,Auf Anfrage,Nein,,Ja,30050,,,,,,,,,,,,
Smartphone,Apple,iPhone 17,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,30060,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Display,Incell HD,,Auf Anfrage,Nein,,Ja,31010,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Display,FHD,,Auf Anfrage,Nein,,Ja,31020,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,31030,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Display,Soft OLED,,Auf Anfrage,Nein,,Ja,31040,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Akku,Akku,,Auf Anfrage,Nein,,Ja,31050,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Plus,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,31060,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Display,Incell HD,,Auf Anfrage,Nein,,Ja,32010,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Display,FHD,"55,00",In Kürze wieder verfügbar!,Nein,,Ja,32020,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,32030,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Display,Soft OLED,"95,00",Wenig Bestand,Nein,,Ja,32040,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Akku,Akku,,Auf Anfrage,Nein,,Ja,32050,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,32060,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Display,Incell HD,,Auf Anfrage,Nein,,Ja,33010,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Display,FHD,,Auf Anfrage,Nein,,Ja,33020,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Display,Hard OLED,,Auf Anfrage,Nein,,Ja,33030,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Display,Soft OLED,"70,00",Wenig Bestand,Nein,,Ja,33040,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Akku,Akku,,Auf Anfrage,Nein,,Ja,33050,,,,,,,,,,,,
Smartphone,Apple,iPhone 17 Pro Max,Akku,Diagnostic Akku,,Auf Anfrage,Nein,,Ja,33060,,,,,,,,,,,,
